benchmark,bits,distance,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_100.jl,8,0.2747147794227887,false,-14.179042131697477,-14.009331660425568,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,16,0.00875723224049489,true,-14.179042131697477,-14.178959500253928,true,false,5.1900000000018105
unitbox_c_10_10_1_100.jl,16,0.004031321059862253,false,-14.179042131697477,-14.178772324753345,true,true,6.299999999992651
unitbox_c_10_10_1_100.jl,16,0.002346102286265401,true,-14.179042131697477,-14.179014705110948,true,true,7.859999999979778
unitbox_c_10_10_1_100.jl,16,0.009897066943162357,true,-14.179042131697477,-14.178962362939053,true,true,5.070000000002801
unitbox_c_10_10_1_100.jl,16,0.001226894319216618,true,-14.179042131697477,-14.179009162431047,true,true,2.1299999999993795
unitbox_c_10_10_1_100.jl,16,0.005307080555276773,false,-14.179042131697477,-14.178748909335416,true,true,5.040000000003048
unitbox_c_10_10_1_100.jl,16,0.037727365347171575,true,-14.179042131697477,-14.177718803865465,true,true,3.450000000008027
unitbox_c_10_10_1_100.jl,16,0.006064383925729724,false,-14.179042131697477,-14.17868816310192,true,true,4.890000000004286
unitbox_c_10_10_1_100.jl,16,0.006318784423121561,true,-14.179042131697477,-14.178998448806048,true,true,4.950000000003791
unitbox_c_10_10_1_100.jl,16,1.836221443736745,true,-14.179042131697477,-12.625588652307417,true,true,2.0099999999985934
unitbox_c_10_10_1_100.jl,16,0.003938026721891333,false,-14.179042131697477,-14.178756023730456,true,true,6.089999999994384
unitbox_c_10_10_1_100.jl,16,0.006472077008503929,false,-14.179042131697477,-14.178858986455257,true,true,7.919999999979283
unitbox_c_10_10_1_100.jl,16,0.005099679047992747,false,-14.179042131697477,-14.179264064257715,false,true,4.890000000004286
unitbox_c_10_10_1_100.jl,16,0.009338254187934996,false,-14.179042131697477,-14.178916525506589,true,true,5.250000000001315
unitbox_c_10_10_1_100.jl,16,0.0015684300790301017,false,-14.179042131697477,-14.178939452643482,true,true,5.489999999999335
unitbox_c_10_10_1_100.jl,16,0.004627622122901829,true,-14.179042131697477,-14.178964120079792,true,true,5.519999999999087
unitbox_c_10_10_1_100.jl,16,0.0030962206149139377,false,-14.179042131697477,-14.178831660599375,true,true,5.340000000000573
unitbox_c_10_10_1_100.jl,16,0.01886902083672272,true,-14.179042131697477,-14.17880108883418,true,true,2.7900000000037033
unitbox_c_10_10_1_100.jl,16,0.009165542953574317,false,-14.179042131697477,-14.178848780839402,true,true,4.20000000000998
unitbox_c_10_10_1_100.jl,16,0.005429177372670782,true,-14.179042131697477,-14.17903849661607,false,true,4.500000000007504
unitbox_c_10_10_1_100.jl,16,0.0027703616529465686,false,-14.179042131697477,-14.179117891935281,false,true,3.6000000000090098
unitbox_c_10_10_1_100.jl,32,0.009214626507289936,true,-14.179042131697477,-14.178935557526676,true,false,5.040000000003048
unitbox_c_10_10_1_100.jl,32,0.00272447665410927,true,-14.179042131697477,-14.179007419312319,true,true,1.859999999998647
unitbox_c_10_10_1_100.jl,32,0.00431586767234176,true,-14.179042131697477,-14.178930283993555,true,true,5.999999999995127
unitbox_c_10_10_1_100.jl,32,0.00924831423016135,true,-14.179042131697477,-14.178950227350434,true,true,4.950000000003791
unitbox_c_10_10_1_100.jl,32,0.00409163626435001,true,-14.179042131697477,-14.178919447121817,true,true,6.209999999993394
unitbox_c_10_10_1_100.jl,32,0.009303979306482347,true,-14.179042131697477,-14.178972288909751,true,true,4.290000000009237
unitbox_c_10_10_1_100.jl,32,0.0020098153940169075,true,-14.179042131697477,-14.179040401852342,true,true,4.620000000006514
unitbox_c_10_10_1_100.jl,32,0.0050787562950082065,true,-14.179042131697477,-14.178970754610598,true,true,6.299999999992651
unitbox_c_10_10_1_100.jl,32,0.004188877942281859,true,-14.179042131697477,-14.179004110325625,true,true,2.940000000004686
unitbox_c_10_10_1_100.jl,32,0.004191309630871668,true,-14.179042131697477,-14.17900037523294,true,true,4.860000000004534
unitbox_c_10_10_1_100.jl,32,0.004773459665114525,true,-14.179042131697477,-14.178993190256243,true,true,5.040000000003048
unitbox_c_10_10_1_100.jl,32,0.009267325940261561,true,-14.179042131697477,-14.178958012932302,true,true,4.500000000007504
unitbox_c_10_10_1_100.jl,32,0.0024165609313821185,true,-14.179042131697477,-14.178997431995183,true,true,5.909999999995869
unitbox_c_10_10_1_100.jl,32,0.007856021636277138,true,-14.179042131697477,-14.178996907351948,true,true,3.3000000000070444
unitbox_c_10_10_1_100.jl,32,0.009328990823336578,true,-14.179042131697477,-14.178981501816274,true,true,3.720000000009796
unitbox_c_10_10_1_100.jl,32,0.009238174652028239,true,-14.179042131697477,-14.178945907730151,true,true,5.160000000002058
unitbox_c_10_10_1_100.jl,32,0.003878868448436776,true,-14.179042131697477,-14.178910624493964,true,true,6.689999999989433
unitbox_c_10_10_1_100.jl,32,0.009209580863215374,true,-14.179042131697477,-14.178933281053727,true,true,5.220000000001563
unitbox_c_10_10_1_100.jl,32,0.0005927668374797987,true,-14.179042131697477,-14.179011261538312,true,true,3.9300000000111717
unitbox_c_10_10_1_100.jl,32,0.004902099375428552,true,-14.179042131697477,-14.178893759926611,true,true,3.840000000010582
unitbox_c_10_10_1_100.jl,32,0.009284433992351841,true,-14.179042131697477,-14.178964796818908,true,true,5.100000000002553
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,false,1.979999999998545
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,0.9899999999993867
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,2.8200000000039
unitbox_c_10_10_1_50.jl,0,1.4142135731728986,true,-7.380000185475224,-6.66,true,true,1.0499999999993357
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,1.8899999999986214
unitbox_c_10_10_1_50.jl,0,1.4459310377088352,true,-7.380000185475224,-6.635904651900081,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,0.6599999999996673
unitbox_c_10_10_1_50.jl,0,1.4142135731728986,true,-7.380000185475224,-6.66,true,true,0.9299999999994377
unitbox_c_10_10_1_50.jl,0,1.4445868300144948,true,-7.380000185475224,-6.636426309582138,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,0,1.4287606375877997,true,-7.380000185475224,-6.643730878077535,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,1.919999999998596
unitbox_c_10_10_1_50.jl,0,1.3753035361165122,true,-7.380000185475224,-6.657766859268147,true,true,0.5099999999997948
unitbox_c_10_10_1_50.jl,0,1.4142135731728986,true,-7.380000185475224,-6.66,true,true,8.21999999998332
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,1.799999999998698
unitbox_c_10_10_1_50.jl,0,1.438627179062163,true,-7.380000185475224,-6.638887254839814,true,true,10.000020000021332
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,1.8899999999986214
unitbox_c_10_10_1_50.jl,0,1.4142135731728986,true,-7.380000185475224,-6.66,true,true,7.259999999984729
unitbox_c_10_10_1_50.jl,0,2.682204133910197e-8,true,-7.380000185475224,-7.380000000000001,true,true,1.979999999998545
unitbox_c_10_10_1_50.jl,0,1.4306898615955428,true,-7.380000185475224,-6.64267977891184,true,true,10.000020000021332
