benchmark,bits,dual_status,ipopt_objective,objective,primal_status,random,time
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.774988815153462,false,true,2.430000000001345
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-11.411635841665024,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.213398634483271,true,true,1.799999999998698
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-12.501272124570871,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-12.6,true,true,5.699999999997602
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-14.177554014361165,false,true,5.939999999995622
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-13.511463984531323,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-12.28865465343616,true,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.880735870614119,false,true,3.720000000009796
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.610000000000003,false,true,4.0500000000112175
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.709541295468721,false,true,2.3400000000007553
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-12.820514000559887,true,true,0.9599999999994122
unitbox_c_10_10_1_100.jl,8,false,-14.179042131697477,-13.339048648649083,false,true,10.000020000021332
unitbox_c_10_10_1_100.jl,8,true,-14.179042131697477,-13.756790988591673,false,true,2.5800000000023275
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.179003606796503,true,false,6.77999999998869
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.179009024005705,true,true,5.31000000000082
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-12.625724182651021,true,true,2.430000000001345
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.179064910973372,false,true,4.830000000004781
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.179134684941577,false,true,4.680000000006019
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.17900300443268,true,true,5.040000000003048
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.178889632864673,true,true,5.7299999999973545
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-12.62555646960264,true,true,2.4000000000011483
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.178976097137422,true,true,1.7099999999987745
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.1789528367707,true,true,3.5400000000086167
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.17847175861096,true,true,5.519999999999087
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.178884597229379,true,true,4.560000000007009
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.178847126479951,true,true,4.980000000003543
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.178988003309794,true,true,6.449999999991413
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.17888877356792,true,true,6.629999999989928
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.17889786661133,true,true,3.210000000006455
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.179150494413665,false,true,4.6500000000062665
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.178871904101255,true,true,6.419999999991661
unitbox_c_10_10_1_100.jl,16,false,-14.179042131697477,-14.178833567033557,true,true,6.209999999993394
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.178161560255973,true,true,4.800000000005029
unitbox_c_10_10_1_100.jl,16,true,-14.179042131697477,-14.179047927237239,false,true,7.829999999980026
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.17901443682031,true,false,2.940000000004686
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-12.625541768982053,true,true,2.8200000000039
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.178944796947343,true,true,5.250000000001315
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.179026157973096,true,true,2.370000000000952
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.178930834152615,true,true,5.220000000001563
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.178986617705998,true,true,3.9300000000111717
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.17893493035213,true,true,8.249999999983961
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.178998105209164,true,true,7.829999999980026
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.1789840767382,true,true,6.029999999994879
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.179022601538486,true,true,5.7299999999973545
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.178982968135813,true,true,4.260000000009485
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.17900681851708,true,true,6.179999999993641
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.17899622722087,true,true,3.4800000000082236
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.179041768037491,true,true,4.260000000009485
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.179038171427363,true,true,4.860000000004534
unitbox_c_10_10_1_100.jl,32,true,-14.179042131697477,-14.178996847272424,true,true,5.250000000001315
